UNet | patch_size: 512 | pos_weight: 8.0

train 1/6:   0%|          | 0/875 [00:00<?, ?it/s]
train 1/6:   0%|          | 1/875 [00:01<21:46,  1.49s/it]
train 1/6:   0%|          | 2/875 [00:01<12:27,  1.17it/s]
train 1/6:   0%|          | 3/875 [00:02<09:28,  1.53it/s]
train 1/6:   0%|          | 4/875 [00:02<08:04,  1.80it/s]
train 1/6:   1%|          | 5/875 [00:03<07:18,  1.99it/s]
train 1/6:   1%|          | 6/875 [00:03<06:50,  2.12it/s]
train 1/6:   1%|          | 7/875 [00:03<06:32,  2.21it/s]
train 1/6:   1%|          | 8/875 [00:04<06:20,  2.28it/s]
train 1/6:   1%|          | 9/875 [00:04<06:12,  2.33it/s]
train 1/6:   1%|          | 10/875 [00:05<06:06,  2.36it/s]
train 1/6:   1%|▏         | 11/875 [00:05<06:02,  2.38it/s]
train 1/6:   1%|▏         | 12/875 [00:06<06:00,  2.40it/s]
train 1/6:   1%|▏         | 13/875 [00:06<05:57,  2.41it/s]
train 1/6:   2%|▏         | 14/875 [00:06<05:56,  2.42it/s]
train 1/6:   2%|▏         | 15/875 [00:07<05:55,  2.42it/s]
train 1/6:   2%|▏         | 16/875 [00:07<05:54,  2.42it/s]
train 1/6:   2%|▏         | 17/875 [00:08<05:53,  2.43it/s]
train 1/6:   2%|▏         | 18/875 [00:08<05:52,  2.43it/s]
train 1/6:   2%|▏         | 19/875 [00:08<05:52,  2.43it/s]
train 1/6:   2%|▏         | 20/875 [00:09<05:52,  2.43it/s]
train 1/6:   2%|▏         | 21/875 [00:09<05:52,  2.43it/s]
train 1/6:   3%|▎         | 22/875 [00:10<05:51,  2.42it/s]
train 1/6:   3%|▎         | 23/875 [00:10<05:51,  2.42it/s]
train 1/6:   3%|▎         | 24/875 [00:10<05:51,  2.42it/s]
train 1/6:   3%|▎         | 25/875 [00:11<05:50,  2.42it/s]
train 1/6:   3%|▎         | 26/875 [00:11<05:50,  2.42it/s]
train 1/6:   3%|▎         | 27/875 [00:12<05:50,  2.42it/s]
