/home/yuvalsi2/.conda/envs/crackseg/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:62: UserWarning: The verbose parameter is deprecated. Please use get_last_lr() to access the learning rate.
  warnings.warn(
UNet | Train Samples: 7000 | Batches: 875

train 1/20:   0%|          | 0/875 [00:00<?, ?it/s]
train 1/20:   0%|          | 0/875 [00:01<?, ?it/s, loss=0.9057]
train 1/20:   0%|          | 1/875 [00:01<18:47,  1.29s/it, loss=0.9057]
train 1/20:   0%|          | 1/875 [00:01<18:47,  1.29s/it, loss=0.8696]
train 1/20:   0%|          | 2/875 [00:01<11:20,  1.28it/s, loss=0.8696]
train 1/20:   0%|          | 2/875 [00:02<11:20,  1.28it/s, loss=0.8491]
train 1/20:   0%|          | 3/875 [00:02<08:58,  1.62it/s, loss=0.8491]
train 1/20:   0%|          | 3/875 [00:02<08:58,  1.62it/s, loss=0.8448]
train 1/20:   0%|          | 4/875 [00:02<07:51,  1.85it/s, loss=0.8448]
train 1/20:   0%|          | 4/875 [00:02<07:51,  1.85it/s, loss=0.8713]
train 1/20:   1%|          | 5/875 [00:02<07:14,  2.00it/s, loss=0.8713]
train 1/20:   1%|          | 5/875 [00:03<07:14,  2.00it/s, loss=0.8492]
train 1/20:   1%|          | 6/875 [00:03<06:51,  2.11it/s, loss=0.8492]
train 1/20:   1%|          | 6/875 [00:03<06:51,  2.11it/s, loss=0.8505]
train 1/20:   1%|          | 7/875 [00:03<06:36,  2.19it/s, loss=0.8505]
train 1/20:   1%|          | 7/875 [00:04<06:36,  2.19it/s, loss=0.8189]
train 1/20:   1%|          | 8/875 [00:04<06:27,  2.24it/s, loss=0.8189]
train 1/20:   1%|          | 8/875 [00:04<06:27,  2.24it/s, loss=0.8219]
train 1/20:   1%|          | 9/875 [00:04<06:20,  2.28it/s, loss=0.8219]
train 1/20:   1%|          | 9/875 [00:05<06:20,  2.28it/s, loss=0.8124]
train 1/20:   1%|          | 10/875 [00:05<06:15,  2.30it/s, loss=0.8124]
train 1/20:   1%|          | 10/875 [00:05<06:15,  2.30it/s, loss=0.8544]
train 1/20:   1%|▏         | 11/875 [00:05<06:13,  2.32it/s, loss=0.8544]
train 1/20:   1%|▏         | 11/875 [00:05<06:13,  2.32it/s, loss=0.8589]
train 1/20:   1%|▏         | 12/875 [00:05<06:11,  2.32it/s, loss=0.8589]
